================ Training Loss (Wed Mar  4 08:56:21 2026) ================
   Avg Run Time (ms/batch): 10.902 roc: 0.969 max roc: 0.969
   Avg Run Time (ms/batch): 11.214 roc: 0.977 max roc: 0.977
   Avg Run Time (ms/batch): 11.500 roc: 0.971 max roc: 0.977
   Avg Run Time (ms/batch): 11.745 roc: 0.944 max roc: 0.977
   Avg Run Time (ms/batch): 11.473 roc: 0.937 max roc: 0.977
   Avg Run Time (ms/batch): 11.063 roc: 0.968 max roc: 0.977
   Avg Run Time (ms/batch): 11.529 roc: 0.964 max roc: 0.977
   Avg Run Time (ms/batch): 13.310 roc: 0.960 max roc: 0.977
   Avg Run Time (ms/batch): 11.548 roc: 0.977 max roc: 0.977
   Avg Run Time (ms/batch): 11.094 roc: 0.971 max roc: 0.977
   Avg Run Time (ms/batch): 13.569 roc: 0.947 max roc: 0.977
   Avg Run Time (ms/batch): 11.414 roc: 0.946 max roc: 0.977
   Avg Run Time (ms/batch): 12.114 roc: 0.950 max roc: 0.977
   Avg Run Time (ms/batch): 13.431 roc: 0.961 max roc: 0.977
   Avg Run Time (ms/batch): 11.521 roc: 0.951 max roc: 0.977
   Avg Run Time (ms/batch): 11.353 roc: 0.928 max roc: 0.977
   Avg Run Time (ms/batch): 13.421 roc: 0.965 max roc: 0.977
   Avg Run Time (ms/batch): 11.355 roc: 0.958 max roc: 0.977
   Avg Run Time (ms/batch): 11.620 roc: 0.951 max roc: 0.977
   Avg Run Time (ms/batch): 11.493 roc: 0.946 max roc: 0.977
   Avg Run Time (ms/batch): 11.022 roc: 0.965 max roc: 0.977
   Avg Run Time (ms/batch): 11.347 roc: 0.941 max roc: 0.977
   Avg Run Time (ms/batch): 11.214 roc: 0.976 max roc: 0.977
   Avg Run Time (ms/batch): 12.865 roc: 0.964 max roc: 0.977
   Avg Run Time (ms/batch): 11.876 roc: 0.971 max roc: 0.977
   Avg Run Time (ms/batch): 13.210 roc: 0.952 max roc: 0.977
   Avg Run Time (ms/batch): 11.617 roc: 0.967 max roc: 0.977
   Avg Run Time (ms/batch): 11.545 roc: 0.961 max roc: 0.977
   Avg Run Time (ms/batch): 11.651 roc: 0.966 max roc: 0.977
   Avg Run Time (ms/batch): 11.210 roc: 0.924 max roc: 0.977
   Avg Run Time (ms/batch): 13.143 roc: 0.765 max roc: 0.977
   Avg Run Time (ms/batch): 11.001 roc: 0.516 max roc: 0.977
   Avg Run Time (ms/batch): 11.779 roc: 0.964 max roc: 0.977
   Avg Run Time (ms/batch): 11.715 roc: 0.751 max roc: 0.977
   Avg Run Time (ms/batch): 11.622 roc: 0.938 max roc: 0.977
   Avg Run Time (ms/batch): 13.657 roc: 0.961 max roc: 0.977
   Avg Run Time (ms/batch): 13.884 roc: 0.952 max roc: 0.977
   Avg Run Time (ms/batch): 11.132 roc: 0.945 max roc: 0.977
   Avg Run Time (ms/batch): 11.729 roc: 0.879 max roc: 0.977
   Avg Run Time (ms/batch): 11.199 roc: 0.950 max roc: 0.977
   Avg Run Time (ms/batch): 11.480 roc: 0.831 max roc: 0.977
   Avg Run Time (ms/batch): 11.640 roc: 0.946 max roc: 0.977
   Avg Run Time (ms/batch): 11.592 roc: 0.970 max roc: 0.977
   Avg Run Time (ms/batch): 13.688 roc: 0.938 max roc: 0.977
   Avg Run Time (ms/batch): 13.597 roc: 0.908 max roc: 0.977
   Avg Run Time (ms/batch): 11.164 roc: 0.930 max roc: 0.977
   Avg Run Time (ms/batch): 11.550 roc: 0.913 max roc: 0.977
   Avg Run Time (ms/batch): 11.741 roc: 0.908 max roc: 0.977
   Avg Run Time (ms/batch): 11.588 roc: 0.955 max roc: 0.977
   Avg Run Time (ms/batch): 11.418 roc: 0.927 max roc: 0.977
